Close,Volume,High_Low_Pct,Open_Close_Pct,Day_Of_Week,Month_Of_Year,Quarter_Of_Year
16.78,115,0.0,-0.033373063170441135,2,1,1
16.22,5,0.0,-0.014796547472256378,3,1,1
15.98,5,0.0,-0.005006257822277852,0,1,1
15.9,5,0.0,-0.010062893081761014,1,1,1
15.74,5,0.0,-0.020330368487928862,3,1,1
15.42,10,0.0,-0.005188067444876788,1,1,1
15.34,15,0.0,-0.03063885267275102,2,1,1
14.87,30,0.0,-0.004707464694014694,2,1,1
14.8,35,0.0,-0.004729729729729749,3,1,1
14.73,605,0.0,0.0047522063815343026,0,2,1
14.8,270,0.0,0.0047297297297296285,1,2,1
14.87,395,0.0,0.004707464694014814,2,2,1
14.94,640,0.0,0.1867469879518073,3,2,1
17.73,200,0.0,-0.1692047377326565,4,2,1
14.73,85,0.0,-0.0047522063815343026,0,2,1
14.66,70,0.0,-0.004774897680764003,1,2,1
14.59,45,0.0,-0.004797806716929423,2,2,1
14.52,70,0.0,-0.009641873278236832,4,2,1
14.38,30,0.0,-0.0048678720445062785,0,2,1
14.31,15,0.0,-0.004891684136967176,1,2,1
14.24,5,0.0,-0.0049157303370786715,2,2,1
14.17,20,0.0,-0.004940014114326061,3,2,1
14.1,5,0.0,-0.01489361702127653,4,3,1
13.89,25,0.0,-0.00503959683225344,1,3,1
13.82,5,0.0,-0.03039073806078147,2,3,1
13.4,5,0.0,-0.005223880597014946,2,3,1
13.33,5,0.0,-0.005251312828207073,3,3,1
13.26,5,0.0,-0.010558069381598836,4,3,1
13.12,35,0.0,-0.005335365853658423,0,3,1
13.05,75,0.0,-0.005363984674329523,1,3,1
12.98,80,0.0,-0.004622496147919915,2,3,1
12.92,10,0.0,-0.0046439628482972525,3,3,1
12.86,35,0.0,-0.009331259720062149,4,3,1
12.74,5,0.0,-0.004709576138147605,0,3,1
12.68,20,0.0,-0.0047318611987382094,1,3,1
12.62,40,0.0,-0.004754358161648076,2,3,1
12.56,30,0.0,-0.014331210191082779,3,3,1
12.38,25,0.0,-0.004846526655896647,4,3,1
12.32,30,0.0,0.04383116883116876,1,4,2
12.86,5,0.0,-0.051321928460342156,2,4,2
12.2,5,0.0,-0.014754098360655716,3,4,2
12.02,5,0.0,-0.009983361064891783,0,4,2
11.9,5,0.0,-0.010084033613445462,2,4,2
11.78,10,0.0,-0.015280135823429518,4,4,2
11.6,5,0.0,-0.03103448275862064,1,4,2
11.24,10,0.0,-0.005338078291814991,1,4,2
11.18,10,0.0,-0.02951699463327371,2,4,2
10.85,10,0.0,-0.027649769585253357,3,5,2
10.55,10,0.0,-0.004739336492891062,3,5,2
10.5,5,0.0,-0.00952380952380949,4,5,2
10.4,20,0.0,-0.004807692307692376,0,5,2
10.35,165,0.0,-0.004830917874396033,1,5,2
10.3,265,0.0,0.014563106796116367,2,5,2
10.45,235,0.0,0.004784688995215379,3,5,2
10.5,570,0.0,-0.00952380952380949,4,5,2
10.4,370,0.0,-0.004807692307692376,0,5,2
10.35,60,0.0,-0.004830917874396033,1,5,2
10.3,45,0.0,-0.004854368932038904,2,5,2
10.25,25,0.0,-0.004878048780487874,3,5,2
10.2,5,0.0,-0.014705882352941037,4,5,2
10.05,5,0.0,-0.009950248756219046,1,5,2
9.95,5,0.0,-0.005025125628140597,3,5,2
9.9,20,0.0,-0.010101010101010065,4,5,2
9.8,10,0.0,-0.005102040816326603,0,6,2
9.75,70,0.0,-0.005128205128205201,1,6,2
9.7,20,0.0,-0.010309278350515427,2,6,2
9.6,80,0.0,-0.01041666666666663,4,6,2
9.5,45,0.0,-0.005263157894736917,0,6,2
9.45,95,0.0,-0.005291005291005179,1,6,2
9.4,545,0.0,0.015957446808510675,2,6,2
9.55,1310,0.0,0.005235602094240726,3,6,2
9.6,1515,0.0,-0.02083333333333326,4,6,2
9.4,1405,0.0,-0.425531914893617,0,6,2
5.4,10,0.0,-0.055555555555555684,4,6,2
5.1,490,0.03921568627450984,0.01960784313725501,0,7,3
4.9,325,0.061224489795918324,-0.010204081632653206,1,7,3
5.2,725,0.07216494845360837,-0.03846153846153849,2,7,3
5.0,355,0.0510204081632653,0.0,3,7,3
4.85,215,0.05263157894736842,-0.010309278350515427,4,7,3
4.5,170,0.09090909090909079,-0.08888888888888896,0,7,3
4.0,375,0.02499999999999991,-0.025000000000000022,1,7,3
4.2,255,0.076923076923077,-0.023809523809523937,2,7,3
4.1,575,0.09210526315789488,-0.07317073170731704,3,7,3
3.8,465,0.026315789473684237,0.026315789473684237,4,7,3
3.8,310,0.05405405405405398,-0.02631578947368412,0,7,3
3.5,420,0.08823529411764713,-0.0285714285714286,1,7,3
3.4,460,0.09677419354838704,-0.07352941176470588,2,7,3
4.0,560,0.3064516129032257,0.4125000000000001,3,7,3
4.35,515,0.4482758620689656,-0.10344827586206891,4,7,3
3.9,1420,0.15789473684210542,0.12820512820512833,0,7,3
4.2,525,0.04761904761904766,0.0,1,7,3
4.2,385,0.024390243902439157,-0.011904761904761862,2,7,3
4.1,430,0.012195121951219686,0.0,3,7,3
4.05,455,0.050000000000000044,0.0,4,7,3
4.05,605,0.06578947368421052,-0.04938271604938265,0,7,3
3.9,175,0.026315789473684237,0.0,1,7,3
4.05,115,0.03846153846153844,0.25925925925925924,2,7,3
5.05,160,0.040816326530612096,-0.19801980198019803,3,8,3
4.15,540,0.037037037037037125,-0.012048192771084508,4,8,3
4.15,640,0.012195121951219686,0.012048192771084293,0,8,3
4.15,335,0.012048192771084293,0.0,1,8,3
4.1,440,0.012195121951219686,0.012195121951219686,2,8,3
4.05,220,0.024691358024691492,0.0,3,8,3
4.05,550,0.02499999999999991,0.0,4,8,3
4.05,385,0.02499999999999991,0.012345679012345635,0,8,3
4.1,270,0.012345679012345635,-0.01219512195121947,1,8,3
4.05,225,0.02499999999999991,0.0,2,8,3
4.0,500,0.012499999999999956,0.0,3,8,3
4.0,260,0.02499999999999991,0.012499999999999956,4,8,3
4.1,255,0.03750000000000009,0.0,0,8,3
4.1,250,0.012195121951219686,0.0,1,8,3
4.15,925,0.03750000000000009,-0.012048192771084508,2,8,3
4.15,655,0.024691358024691492,-0.0240963855421688,3,8,3
4.1,560,0.024691358024691492,-0.01219512195121947,4,8,3
4.05,420,0.012345679012345635,0.012345679012345635,0,8,3
4.1,580,0.024691358024691492,0.0,1,8,3
