Date,Open,High,Low,Close,Volume
"2020-01-02","32.8","33.6","32.51","32.56","1012130"
"2020-01-03","32.71","32.81","31.78","32.05","805536"
"2020-01-06","31.75","31.76","31.25","31.51","876841"
"2020-01-07","31.61","31.93","31.35","31.76","577933"
"2020-01-08","31.3","31.77","31.05","31.68","529997"
"2020-01-09","32.15","32.48","31.85","32.2","783734"
"2020-01-10","32","32.22","31.35","31.46","557444"
"2020-01-13","31.4","31.78","31.26","31.68","620749"
"2020-01-14","31.55","31.79","31.37","31.39","419712"
"2020-01-15","31.3","31.49","30.46","30.49","672944"
"2020-01-16","30.62","30.93","30.4","30.53","581396"
"2020-01-17","30.62","30.85","30.32","30.46","472219"
"2020-01-20","30.5","30.51","29.52","29.87","915638"
"2020-01-21","29.56","29.86","29.02","29.21","817969"
"2020-01-22","29.2","30.34","29.18","30.11","937710"
"2020-01-23","29.7","29.78","28.68","28.98","986949"
"2020-02-03","26.09","27.52","26.08","26.63","1530865"
"2020-02-04","26.9","27.87","26.9","27.62","1036283"
"2020-02-05","27.51","27.98","27.22","27.64","800686"
"2020-02-06","27.75","28.12","27.42","27.9","871869"
"2020-02-07","27.49","27.6","27.21","27.5","713785"
"2020-02-10","27.25","28.88","27.12","28.67","911238"
"2020-02-11","28.55","29.53","28.55","29.08","685354"
"2020-02-12","28.99","29.3","28.85","29.08","417587"
"2020-02-13","29.48","30.75","29.46","29.95","895698"
"2020-02-14","30","30.8","29.97","30.8","1197703"
"2020-02-17","30.94","30.95","29.92","30.42","1022139"
"2020-02-18","30.01","30.05","29.52","29.7","785952"
"2020-02-19","29.72","30.1","29.55","29.65","608207"
"2020-02-20","29.51","29.87","29.28","29.85","801996"
"2020-02-21","29.8","29.8","29","29.25","1059202"
"2020-02-24","29.1","29.15","28.42","28.9","949996"
"2020-02-25","28.82","29.65","28.8","29.33","1052970"
"2020-02-26","28.85","30.96","28.6","30.11","1654457"
"2020-02-27","30.23","30.26","29.38","29.67","922759"
"2020-02-28","29.25","30.6","29.18","29.59","1101300"
"2020-03-02","29.9","31.63","29.9","31.13","1375747"
"2020-03-03","31.51","31.63","30.43","31.1","942832"
"2020-03-04","31.28","32.45","30.74","32.26","1129796"
"2020-03-05","31.78","32.7","31.6","32.3","924170"
"2020-03-06","31.81","31.99","30.99","31.13","679529"
"2020-03-09","30.6","31.13","30.01","30.55","843613"
"2020-03-10","30.6","31.57","30.2","30.8","765994"
"2020-03-11","30.83","31","30.36","30.38","563319"
"2020-03-12","30.01","30.63","29.6","29.95","593494"
"2020-03-13","28.5","29.8","28.2","29.45","732531"
"2020-03-16","29.46","29.46","28.29","28.54","646615"
"2020-03-17","28.55","28.86","27.3","28.11","710786"
"2020-03-18","27.4","27.64","26.01","26.3","1928697"
"2020-03-19","25.8","25.93","24.18","25.23","1510079"
"2020-03-20","25.5","25.94","25.06","25.8","975291"
"2020-03-23","24.84","25.08","24.39","24.55","703782"
"2020-03-24","25.08","25.16","24.36","24.9","934048"
"2020-03-25","25.35","26.6","25.35","26.5","1497606"
"2020-03-26","26.22","26.51","26","26.2","576254"
"2020-03-27","26.72","27.16","26.42","26.57","834894"
"2020-03-30","26.1","26.73","26","26.04","850018"
"2020-03-31","26.35","26.42","25.5","25.65","607044"
"2020-04-01","26.45","26.96","26.25","26.63","1074332"
"2020-04-02","26.5","26.94","26.35","26.88","663097"
"2020-04-03","26.75","27.18","26.6","26.77","569453"
"2020-04-07","27.34","27.42","26.8","27.07","671540"
"2020-04-08","26.9","27.25","26.75","26.96","412514"
"2020-04-09","27.1","27.16","26.6","26.69","387263"
"2020-04-10","26.84","27.34","26.59","26.88","624603"
"2020-04-13","26.74","27.13","26.61","27.04","432649"
"2020-04-14","27.1","27.75","27.02","27.35","642419"
"2020-04-15","27.2","27.23","26.55","26.7","703593"
"2020-04-16","26.52","26.76","26.4","26.58","502389"
"2020-04-17","26.78","27.03","26.55","26.72","838133"
"2020-04-20","26.78","26.81","26.05","26.58","850123"
"2020-04-21","26.35","26.54","25.75","26.02","790727"
"2020-04-22","25.82","26.16","25.66","26.13","525407"
"2020-04-23","26.19","26.25","25.9","26","450519"
"2020-04-24","25.95","25.96","25.53","25.68","497940"
"2020-04-27","25.71","26.17","25.56","25.88","710753"
"2020-04-28","26.15","26.5","25.77","26.39","779427"
"2020-04-29","26.4","26.98","26.26","26.86","801688"
"2020-04-30","26.9","27.15","26.7","26.8","696878"
"2020-05-06","26.2","26.35","25.95","26.26","923065"
"2020-05-07","26.18","26.18","25.88","25.97","573165"
"2020-05-08","26.17","26.37","25.91","26.26","913214"
"2020-05-11","26.2","26.48","26.09","26.41","795067"
"2020-05-12","26.34","26.38","25.83","25.93","776058"
"2020-05-13","25.81","25.93","25.63","25.93","628099"
"2020-05-14","25.81","25.83","25.45","25.49","705512"
"2020-05-15","25.61","25.7","25.41","25.49","460156"
"2020-05-18","25.83","26.38","25.8","26.21","1385653"
"2020-05-19","26.48","26.5","26.03","26.13","680787"
"2020-05-20","26.12","26.13","25.57","25.61","1105354"
"2020-05-21","25.69","25.74","25.5","25.58","410363"
"2020-05-22","25.51","25.54","25.14","25.16","534242"
"2020-05-25","25.23","25.59","24.96","25.46","512761"
"2020-05-26","25.58","25.86","25.44","25.83","552782"
"2020-05-27","25.83","26.1","25.7","25.9","555244"
"2020-05-28","25.88","26.56","25.88","26.14","709769"
"2020-05-29","26.12","26.12","25.7","25.7","520784"
"2020-06-01","25.98","26.5","25.98","26.4","779004"
"2020-06-02","26.37","27.26","26.3","27.24","1020845"
"2020-06-03","27.4","27.96","26.83","26.84","927492"
