"Date","OPEN","High","Low","CLOSE","Volume"
"2020-01-02","3.66","3.71","3.64","3.71","377468"
"2020-01-03","3.72","3.75","3.7","3.75","310728"
"2020-01-06","3.76","3.79","3.71","3.73","349983"
"2020-01-07","3.75","3.79","3.73","3.79","317230"
"2020-01-08","3.77","3.83","3.71","3.72","375008"
"2020-01-09","3.75","3.81","3.74","3.77","304920"
"2020-01-10","3.8","3.81","3.75","3.76","208852"
"2020-01-13","3.75","3.76","3.7","3.74","242298"
"2020-01-14","3.75","3.84","3.75","3.78","353841"
"2020-01-15","3.79","3.79","3.7","3.71","258067"
"2020-01-16","3.73","3.74","3.6","3.61","418172"
"2020-01-17","3.6","3.64","3.58","3.58","239404"
"2020-01-20","3.57","3.63","3.55","3.61","206044"
"2020-01-21","3.6","3.6","3.52","3.53","260822"
"2020-01-22","3.52","3.53","3.42","3.5","235127"
"2020-01-23","3.49","3.5","3.38","3.42","254385"
"2020-02-03","3.08","3.08","3.08","3.08","74616"
"2020-02-04","2.77","2.97","2.77","2.95","549887"
"2020-02-05","2.95","3.09","2.93","3.04","384705"
"2020-02-06","3.04","3.07","3","3.05","269264"
"2020-02-07","3.04","3.07","3.01","3.05","249164"
"2020-02-10","3.05","3.15","3.04","3.13","284092"
"2020-02-11","3.13","3.15","3.11","3.12","191646"
"2020-02-12","3.12","3.14","3.1","3.14","201407"
"2020-02-13","3.14","3.17","3.1","3.11","209357"
"2020-02-14","3.1","3.12","3.05","3.07","226426"
"2020-02-17","3.1","3.25","3.09","3.23","484404"
"2020-02-18","3.25","3.34","3.23","3.3","356851"
"2020-02-19","3.29","3.39","3.26","3.31","408359"
"2020-02-20","3.28","3.32","3.22","3.3","374318"
"2020-02-21","3.32","3.36","3.29","3.33","290861"
"2020-02-24","3.34","3.35","3.26","3.31","297426"
"2020-02-25","3.25","3.26","3.15","3.22","416062"
"2020-02-26","3.17","3.42","3.17","3.31","635877"
"2020-02-27","3.3","3.32","3.22","3.25","389337"
"2020-02-28","3.17","3.22","3.11","3.12","404625"
"2020-03-02","3.14","3.3","3.14","3.29","440425"
"2020-03-03","3.35","3.37","3.25","3.28","353833"
"2020-03-04","3.26","3.36","3.23","3.34","380084"
"2020-03-05","3.38","3.58","3.38","3.49","818526"
"2020-03-06","3.43","3.55","3.41","3.47","565183"
"2020-03-09","3.46","3.75","3.45","3.54","1023346"
"2020-03-10","3.5","3.66","3.38","3.61","1007430"
"2020-03-11","3.65","3.76","3.56","3.61","1028666"
"2020-03-12","3.54","3.61","3.43","3.49","687086"
"2020-03-13","3.35","3.6","3.3","3.52","712008"
"2020-03-16","3.57","3.65","3.38","3.4","638815"
"2020-03-17","3.39","3.49","3.33","3.44","505974"
"2020-03-18","3.47","3.55","3.34","3.34","567874"
"2020-03-19","3.36","3.39","3.21","3.32","546339"
"2020-03-20","3.36","3.39","3.22","3.27","407445"
"2020-03-23","3.17","3.2","3.08","3.08","465235"
"2020-03-24","3.15","3.17","3.06","3.12","311018"
"2020-03-25","3.18","3.36","3.14","3.28","625526"
"2020-03-26","3.23","3.24","3.16","3.18","352792"
"2020-03-27","3.24","3.35","3.2","3.26","559122"
"2020-03-30","3.21","3.22","3.14","3.18","386184"
"2020-03-31","3.2","3.22","3.12","3.14","306726"
"2020-04-01","3.13","3.2","3.12","3.16","278686"
"2020-04-02","3.14","3.22","3.12","3.22","238370"
"2020-04-03","3.22","3.23","3.17","3.18","199043"
"2020-04-07","3.22","3.26","3.2","3.25","244070"
"2020-04-08","3.23","3.25","3.2","3.23","254328"
"2020-04-09","3.24","3.27","3.2","3.21","261257"
"2020-04-10","3.22","3.24","3.15","3.16","259673"
"2020-04-13","3.14","3.16","3.11","3.13","137506"
"2020-04-14","3.14","3.17","3.12","3.15","194395"
"2020-04-15","3.16","3.16","3.13","3.14","179151"
"2020-04-16","3.14","3.17","3.12","3.16","152584"
"2020-04-17","3.16","3.27","3.15","3.22","432309"
"2020-04-20","3.21","3.26","3.19","3.21","268354"
"2020-04-21","3.18","3.19","3.12","3.14","212972"
"2020-04-22","3.13","3.18","3.11","3.18","147613"
"2020-04-23","3.19","3.19","3.15","3.16","164784"
"2020-04-24","3.18","3.3","3.16","3.22","360814"
"2020-04-27","3.21","3.33","3.2","3.28","404285"
"2020-04-28","3.29","3.29","3.1","3.16","392104"
"2020-04-29","3.14","3.18","3.14","3.16","138496"
"2020-04-30","3.15","3.19","3.14","3.18","230642"
